"SomaSeqid","TargetFullName","Target","UniProt","EntrezGeneSymbol","n_dis","beta_dis","se_dis","p_dis","padj_dis","n_rep","beta_rep","se_rep","p_rep","padj_rep","n_meta","beta_meta","se_meta","p_meta","padj_meta"
"X5654.70","Protein disulfide-isomerase TMX3","TMX3","Q96JJ7","TMX3",329,0.14413838036862,0.0150175117686564,2.52831059444076e-19,1.08742638666897e-15,297,0.0747711965135839,0.0166973624098842,1.08314949476371e-05,0.000100618271641009,626,0.1131,0.0112,4.07380277804112e-24,6.25765205298388e-22
"X7917.17","Carboxypeptidase D","CBPD","O75976","CPD",331,0.0811187265169732,0.00856414414900466,6.3200387026493e-19,1.35912432300473e-15,297,0.0438255796296904,0.00883088092332167,1.18477993220906e-06,1.50761493740567e-05,628,0.063,0.0061,1.12201845430197e-24,2.35152796478956e-22
"X4234.8","Interleukin-1 receptor-like 1","IL-1 R4","Q01638","IL1RL1",332,0.455866585487998,0.0501747937983313,1.08596311800805e-17,1.55690912351754e-14,297,0.179896332259963,0.0351162921263955,5.48786988306521e-07,7.815671644723e-06,629,0.2706,0.0288,5.12861383991366e-21,3.50129652785217e-19
"X3738.54","Macrophage colony-stimulating factor 1","CSF-1","P09603","CSF1",332,0.12952503563264,0.0145808401935197,4.72324331508786e-17,5.07866737454822e-14,297,0.13197755231265,0.0186336325904316,1.06585163272527e-11,7.27655217833553e-10,629,0.1305,0.0115,6.60693448007596e-30,9.47214173293557e-27
"X9531.24","Leukocyte-specific transcript 1 protein","LST1","O00453","LST1",332,0.154971568310641,0.017537315444865,6.60649258930192e-17,5.68290492531751e-14,297,0.23727800917665,0.0299308455947758,4.81108547567754e-14,1.72437321924076e-11,629,0.176,0.0151,2.81838293126445e-31,6.0609324936842e-28
"X3796.79","Angiopoietin-related protein 4","ANGL4","Q9BY76","ANGPTL4",332,0.108501566474087,0.0123992577865245,1.22474772677983e-16,8.77939995480008e-14,297,0.104806961358975,0.0169534479601641,2.13415866993911e-09,6.55644031386294e-08,629,0.1072,0.01,8.91250938133744e-27,4.79158785614154e-24
"X5602.62","Inactive ribonuclease-like protein 10","RNS10","Q5GAN6","RNASE10",331,0.0882861581425641,0.0101289280886454,1.58328057063814e-16,9.72812819187806e-14,297,0.0835225020070118,0.00988832278262027,1.44824480721054e-15,1.93276593219362e-12,628,0.0858,0.0071,7.0794578438414e-34,3.04487481863619e-30
"X5601.2","N-acetylmuramoyl-L-alanine amidase","PGRP-L","Q96PD5","PGLYRP2",332,-0.150162932255471,0.0175616110687457,5.07348606823528e-16,2.72763294743499e-13,297,-0.0764905365159791,0.0190945426651086,7.85206770284694e-05,0.000549134035608857,629,-0.1164,0.0129,2.13796208950222e-19,1.12138718865232e-17
"X3587.53","Bone morphogenetic protein 10","BMP10","O95393","BMP10",332,0.151127732595133,0.0178571498938433,9.38834591883037e-16,4.48658619965438e-13,297,0.124363938263353,0.0179210566124442,2.55870178235518e-11,1.57213948084423e-09,629,0.1378,0.0126,1.23026877081238e-27,8.67903425631778e-25
"X6938.21","Protocadherin gamma-A12","PCDGC","O60330","PCDHGA12",328,0.15827799924908,0.0188572618440857,1.58831770969351e-15,6.83135446939179e-13,297,0.0264619953792965,0.0189505476196149,0.163666995249525,0.278014117917933,625,0.0927,0.0134,4.07380277804112e-12,5.82107167719431e-11
"X3585.54","Basigin","BASI","P35613","BSG",332,0.124004902085739,0.0150195688894614,3.96339034363402e-15,1.43455333123917e-12,297,0.143135080522114,0.0196798677801288,3.2661123430748e-12,2.70145176683937e-10,629,0.131,0.0119,5.01187233627271e-28,4.51439377306853e-25
"X8394.56","Non-secretory ribonuclease","RNase 2","P10153","RNASE2",332,0.0815573605185311,0.00987999037290196,4.00247383744945e-15,1.43455333123917e-12,297,0.0374264652505855,0.0123134014120602,0.00258517368055775,0.0102597980466599,629,0.0643,0.0077,7.41310241300919e-17,2.77250030246544e-15
"X6289.78","Rho GTPase-activating protein 36","RHG36","Q6ZRI8","ARHGAP36",328,0.152787015058325,0.0186806075621826,6.99107860552537e-15,2.16110344290618e-12,297,0.112012704525131,0.0178431882724904,1.24595261130415e-09,4.46432507277793e-08,625,0.1315,0.0129,2.23872113856835e-24,4.01197484040936e-22
"X3083.71","Tumor necrosis factor receptor superfamily member 27","XEDAR","Q9HAV5","EDA2R",332,0.12560376134655,0.0153683391667606,7.0345148106688e-15,2.16110344290618e-12,297,0.0960092309675926,0.0183931013923451,3.41189117764159e-07,5.2061530866179e-06,629,0.1134,0.0118,6.60693448007596e-22,5.92008858308473e-20
"X3616.3","N-acetylglucosamine-6-sulfatase","GNS","P15586","GNS",331,0.108394867834203,0.0132777002006193,7.55862211771442e-15,2.16730891521931e-12,297,0.0910783226759813,0.0146086655584663,1.58914694285936e-09,5.25763153941393e-08,628,0.1006,0.0098,1.38038426460289e-24,2.69865123729864e-22
"X4562.1","Neurexophilin-1","NXPH1","P58417","NXPH1",330,-0.156570800156714,0.0193133174394126,1.12417032077334e-14,3.02191034352883e-12,297,-0.06221457534167,0.0212959744002207,0.00375726935676163,0.0140644173223949,627,-0.114,0.0143,1.62181009735893e-15,4.84403140884776e-14
